,"All U.S.-Mexican land gateways  2002  All personal vehicle passengers  199,020,692  All personal vehicles  89,849,415  All pedestrians  50,278,281  All bus passengers  3,926,154  All buses  309,360  All train passengers  15,108",All U.S.-Mexican land gateways,2002,All personal vehicle passengers,"199,020,692",All personal vehicles,"89,849,415",All pedestrians,"50,278,281",All bus passengers,"3,926,154",All buses,"309,360",All train passengers,"15,108","All U.S.-Mexican land gateways  2003  All personal vehicle passengers  193,697,482  All personal vehicles  88,068,391  All pedestrians  48,663,773  All bus passengers  3,746,885  All buses  319,087  All train passengers  12,101",All U.S.-Mexican land gateways.1,2003,All personal vehicle passengers.1,"193,697,482",All personal vehicles.1,"88,068,391",All pedestrians.1,"48,663,773",All bus passengers.1,"3,746,885",All buses.1,"319,087",All train passengers.1,"12,101","All U.S.-Mexican land gateways  2004  All personal vehicle passengers  190,936,607  All personal vehicles  91,133,889  All pedestrians  48,084,235  All bus passengers  3,388,517  All buses  269,027  All train passengers  12,664",All U.S.-Mexican land gateways.2,2004,All personal vehicle passengers.2,"190,936,607",All personal vehicles.2,"91,133,889",All pedestrians.2,"48,084,235",All bus passengers.2,"3,388,517",All buses.2,"269,027",All train passengers.2,"12,664","All U.S.-Mexican land gateways  2005  All personal vehicle passengers  186,067,448  All personal vehicles  91,556,319  All pedestrians  45,829,612  All bus passengers  3,169,779  All buses  256,396  All train passengers  17,833",All U.S.-Mexican land gateways.3,2005,All personal vehicle passengers.3,"186,067,448",All personal vehicles.3,"91,556,319",All pedestrians.3,"45,829,612",All bus passengers.3,"3,169,779",All buses.3,"256,396",All train passengers.3,"17,833","All U.S.-Mexican land gateways  2006  All personal vehicle passengers  179,255,014  All personal vehicles  88,295,570  All pedestrians  46,251,414  All bus passengers  3,187,282  All buses  262,862  All train passengers  21,504",All U.S.-Mexican land gateways.4,2006,All personal vehicle passengers.4,"179,255,014",All personal vehicles.4,"88,295,570",All pedestrians.4,"46,251,414",All bus passengers.4,"3,187,282",All buses.4,"262,862",All train passengers.4,"21,504","All U.S.-Mexican land gateways  2007  All personal vehicle passengers  164,534,262  All personal vehicles  81,788,235  All pedestrians  49,538,963  All bus passengers  3,389,055  All buses  265,162  All train passengers  20,482",All U.S.-Mexican land gateways.5,2007,All personal vehicle passengers.5,"164,534,262",All personal vehicles.5,"81,788,235",All pedestrians.5,"49,538,963",All bus passengers.5,"3,389,055",All buses.5,"265,162",All train passengers.5,"20,482","All U.S.-Mexican land gateways  2008  All personal vehicle passengers  157,981,839  All personal vehicles  78,856,542  All pedestrians  44,841,640  All bus passengers  3,455,630  All buses  266,414  All train passengers  22,016",All U.S.-Mexican land gateways.6,2008,All personal vehicle passengers.6,"157,981,839",All personal vehicles.6,"78,856,542",All pedestrians.6,"44,841,640",All bus passengers.6,"3,455,630",All buses.6,"266,414",All train passengers.6,"22,016"
322,All U.S.-Mexican land gateways,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,All personal vehicle passengers,110961908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,All personal vehicles,61180268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,All pedestrians,40021216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,All bus passengers,2720103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,All buses,208324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,All train passengers,3623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,All U.S.-Mexican land gateways,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,All personal vehicle passengers,115049585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,All personal vehicles,62702503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,All pedestrians,41141640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,All bus passengers,2866637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,All buses,212211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,All train passengers,3319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,All U.S.-Mexican land gateways,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,All personal vehicle passengers,122124951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,All personal vehicles,66547669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,All pedestrians,41198935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,All bus passengers,2822956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,All buses,210200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,All train passengers,4199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,All U.S.-Mexican land gateways,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,All personal vehicle passengers,129243838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,All personal vehicles,69623693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,All pedestrians,41223292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,All bus passengers,2782895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,All buses,213780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,All train passengers,"(R) 10,578",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,All U.S.-Mexican land gateways,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,All personal vehicle passengers,137537486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,All personal vehicles,74158801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,All pedestrians,41179967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,All bus passengers,2554064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,All buses,202682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,All train passengers,9669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,"Personal vehicle passengers ─ top 5 gateways  2009  San Ysidro, CA  23,934,882  El Paso, TX  18,377,270  Laredo, TX  12,729,210  Hidalgo, TX  12,073,543  Brownsville, TX  11,156,688",Personal vehicle passengers ─ top 5 gateways,2009.0,"San Ysidro, CA",23934882.0,"El Paso, TX",18377270.0,"Laredo, TX",12729210.0,"Hidalgo, TX",12073543.0,"Brownsville, TX",11156688,"Personal vehicle passengers ─ top 5 gateways  2010  San Ysidro, CA  23,600,605  El Paso, TX  17,919,814  Laredo, TX  10,857,512  Hidalgo, TX  10,691,969  Brownsville, TX  9,291,617",Personal vehicle passengers ─ top 5 gateways,2010,"San Ysidro, CA",23600605.0,"El Paso, TX",17919814.0,"Laredo, TX",10857512.0,"Hidalgo, TX",10691969,"Brownsville, TX",9291617,"Personal vehicle passengers ─ top 5 gateways  2011  San Ysidro, CA  21,522,906  El Paso, TX  14,940,566  Hidalgo, TX  9,040,470  Laredo, TX  8,458,293  Brownsville, TX  7,972,023",Personal vehicle passengers ─ top 5 gateways,2011,"San Ysidro, CA",21522906,"El Paso, TX",14940566.0,"Hidalgo, TX",9040470.0,"Laredo, TX",8458293,"Brownsville, TX",7972023,"Personal vehicle passengers ─ top 5 gateways  2012  San Ysidro, CA  19,944,913  El Paso, TX  15,908,404  Hidalgo, TX  9,484,335  Otay Mesa, CA  9,297,601  Laredo, TX  8,767,939",Personal vehicle passengers ─ top 5 gateways,2012,"San Ysidro, CA",19944913,"El Paso, TX",15908404,"Hidalgo, TX",9484335.0,"Otay Mesa, CA",9297601,"Laredo, TX",8767939,"Personal vehicle passengers ─ top 5 gateways  2013  San Ysidro, CA  19,887,054  El Paso, TX  17,545,433  Otay Mesa, CA  10,884,910  Hidalgo, TX  9,608,966  Laredo, TX  9,588,200",Personal vehicle passengers ─ top 5 gateways,2013,"San Ysidro, CA",19887054,"El Paso, TX",17545433,"Otay Mesa, CA",10884910,"Hidalgo, TX",9608966,"Laredo, TX",9588200,"Personal vehicle passengers ─ top 5 gateways  2014  San Ysidro, CA  21,116,089  El Paso, TX  19,134,740  Otay Mesa, CA  12,040,318  Laredo, TX  10,335,481  Hidalgo, TX  9,252,030",Personal vehicle passengers ─ top 5 gateways,2014,"San Ysidro, CA",21116089,"El Paso, TX",19134740,"Otay Mesa, CA",12040318,"Laredo, TX",10335481,"Hidalgo, TX",9252030,"Personal vehicle passengers ─ top 5 gateways  2015  San Ysidro, CA  25,646,073  El Paso, TX  19,982,407  Otay Mesa, CA  12,225,410  Laredo, TX  10,985,281  Hidalgo, TX  9,271,544",Personal vehicle passengers ─ top 5 gateways,2015,"San Ysidro, CA",25646073,"El Paso, TX",19982407,"Otay Mesa, CA",12225410,"Laredo, TX",10985281,"Hidalgo, TX",9271544,,,,,,,,,,,,,,
358,Personal vehicle passengers ─ top 5 gateways,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,"San Ysidro, CA",23934882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,"El Paso, TX",18377270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,"Laredo, TX",12729210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,"Hidalgo, TX",12073543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,"Brownsville, TX",11156688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Personal vehicle passengers ─ top 5 gateways,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,"San Ysidro, CA",23600605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,"El Paso, TX",17919814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,"Laredo, TX",10857512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,"Hidalgo, TX",10691969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,"Brownsville, TX",9291617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Personal vehicle passengers ─ top 5 gateways,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,"San Ysidro, CA",21522906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,"El Paso, TX",14940566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,"Hidalgo, TX",9040470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,"Laredo, TX",8458293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,"Brownsville, TX",7972023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Personal vehicle passengers ─ top 5 gateways,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,"San Ysidro, CA",19944913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,"El Paso, TX",15908404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,"Hidalgo, TX",9484335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,"Otay Mesa, CA",9297601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,"Laredo, TX",8767939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Personal vehicle passengers ─ top 5 gateways,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,"San Ysidro, CA",19887054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,"El Paso, TX",17545433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,"Otay Mesa, CA",10884910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,"Hidalgo, TX",9608966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,"Laredo, TX",9588200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Personal vehicle passengers ─ top 5 gateways,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,"San Ysidro, CA",21116089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,"El Paso, TX",19134740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,"Otay Mesa, CA",12040318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,"Laredo, TX",10335481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,"Hidalgo, TX",9252030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Personal vehicle passengers ─ top 5 gateways,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,"San Ysidro, CA",25646073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,"El Paso, TX",19982407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,"Otay Mesa, CA",12225410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,"Laredo, TX",10985281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,"Hidalgo, TX",9271544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,"Personal vehicles ─ top 5 gateways  2009  San Ysidro, CA  13,354,887  El Paso, TX  10,529,485  Hidalgo, TX  6,177,838  Brownsville, TX  5,512,863  Laredo, TX  5,452,111",Personal vehicles ─ top 5 gateways,2009.0,"San Ysidro, CA",13354887.0,"El Paso, TX",10529485.0,"Hidalgo, TX",6177838.0,"Brownsville, TX",5512863.0,"Laredo, TX",5452111,"Personal vehicles ─ top 5 gateways  2010  San Ysidro, CA  13,348,364  El Paso, TX  9,967,959  Hidalgo, TX  5,604,124  Laredo, TX  4,863,814  Brownsville, TX  4,640,465",Personal vehicles ─ top 5 gateways,2010,"San Ysidro, CA",13348364.0,"El Paso, TX",9967959.0,"Hidalgo, TX",5604124.0,"Laredo, TX",4863814,"Brownsville, TX",4640465,"Personal vehicles ─ top 5 gateways  2011  San Ysidro, CA  12,373,011  El Paso, TX  9,148,377  Hidalgo, TX  4,878,003  Laredo, TX  4,746,355  Otay Mesa, CA  4,213,804",Personal vehicles ─ top 5 gateways,2011,"San Ysidro, CA",12373011,"El Paso, TX",9148377.0,"Hidalgo, TX",4878003.0,"Laredo, TX",4746355,"Otay Mesa, CA",4213804,"Personal vehicles ─ top 5 gateways  2012  San Ysidro, CA  11,481,951  El Paso, TX  9,461,721  Otay Mesa, CA  5,346,210  Hidalgo, TX  4,894,486  Laredo, TX  4,440,407",Personal vehicles ─ top 5 gateways,2012,"San Ysidro, CA",11481951,"El Paso, TX",9461721,"Otay Mesa, CA",5346210.0,"Hidalgo, TX",4894486,"Laredo, TX",4440407,"Personal vehicles ─ top 5 gateways  2013  San Ysidro, CA  11,346,966  El Paso, TX  10,877,163  Otay Mesa, CA  6,235,300  Laredo, TX  5,023,185  Hidalgo, TX  4,768,256",Personal vehicles ─ top 5 gateways,2013,"San Ysidro, CA",11346966,"El Paso, TX",10877163,"Otay Mesa, CA",6235300,"Laredo, TX",5023185,"Hidalgo, TX",4768256,"Personal vehicles ─ top 5 gateways  2014  San Ysidro, CA  11,946,060  El Paso, TX  11,595,319  Otay Mesa, CA  6,910,219  Laredo, TX  5,250,601  Hidalgo, TX  4,565,037",Personal vehicles ─ top 5 gateways,2014,"San Ysidro, CA",11946060,"El Paso, TX",11595319,"Otay Mesa, CA",6910219,"Laredo, TX",5250601,"Hidalgo, TX",4565037,"Personal vehicles ─ top 5 gateways  2015  San Ysidro, CA  14,435,252  El Paso, TX  12,258,192  Otay Mesa, CA  6,933,472  Laredo, TX  5,224,056  Hidalgo, TX  4,594,298",Personal vehicles ─ top 5 gateways,2015,"San Ysidro, CA",14435252,"El Paso, TX",12258192,"Otay Mesa, CA",6933472,"Laredo, TX",5224056,"Hidalgo, TX",4594298,,,,,,,,,,,,,,
401,Personal vehicles ─ top 5 gateways,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,"San Ysidro, CA",13354887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,"El Paso, TX",10529485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,"Hidalgo, TX",6177838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,"Brownsville, TX",5512863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
