FEDERAL-AID URBANIZED AREA (3),STATE,"UN-
        REPORTED (4)",INTERNATIONAL ROUGHNESS INDEX (IRI) (1),,,,,,,,,,,,,,,,,,INTERNATIONAL ROUGHNESS INDEX (1) / PRESENT SERVICEABILITY    RATING (PSR) (2),,,,,
,,,INTERSTATE,,,,,,OTHER    FREEWAYS & EXPRESSWAYS,,,,,,OTHER    PRINCIPAL ARTERIAL,,,,,,MINOR  ARTERIAL (5),,,,,
,,,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,"<95

        >=3.5","95-119

        3.1-3.4","120-169

        2.6-3.0","170-220

        2.1-2.5",">220

        <=2.0","TOTAL
        REPORTED"
Cartersville,GA,0,"850,324","34,988","23,086","16,263",0,"924,661",0,0,0,0,0,0,"430,734","36,792","27,566","10,920","11,944","517,957","90,415","1,081","1,624",0,"2,055","95,175"
Casa Grande,AZ,"238,878","435,259","29,238","94,789","19,832",0,"579,118",0,0,0,0,0,0,"3,634","2,058",0,"4,799","1,600","12,090","128,454","99,110","58,223","13,220","22,098","321,104"
Casper,WY,"143,709","81,523","5,454","23,610","21,203","15,530","147,321","20,113","4,834","2,985","1,208","2,199","31,339","117,586","55,701","91,228","71,184","46,132","381,830","167,496","33,179","33,454","10,326","17,938","262,393"
Cedar    Rapids,IA,"1,182,520","847,800","39,309","27,575","10,577",0,"925,261",0,0,0,0,0,0,"322,487","181,600","245,986","143,231","196,726","1,090,030",0,0,0,0,0,0
Chambersburg,PA,0,"532,575","23,432","12,416","3,289",0,"571,712",0,0,0,0,0,0,"14,250","1,111","4,368",0,276,"20,005",0,0,0,0,0,0
Champaign,IL,0,"633,423",0,0,"79,600",0,"713,023",0,0,0,0,0,0,"154,292","118,218","130,445","49,554","31,457","483,967","21,323","78,074","276,089","166,389","97,027","638,902"
Charleston,WV,"388,009","900,389","114,794","74,326","34,463","22,759","1,146,731",0,0,0,0,0,0,"523,729","239,530","264,685","88,055","37,906","1,153,905","402,470","78,945","296,517","57,594","39,335","874,860"
Charleston--North    Charleston,SC,0,"1,280,218","185,261","76,500","64,970",0,"1,606,949","79,463","14,944","22,752",0,0,"117,159","355,219","301,490","255,385","7,437","24,938","944,469","559,761","979,530","636,348","339,054","48,623","2,563,317"
Charlotte,NC,"701,383","9,066,021","2,369,215","1,102,690","320,508","91,636","12,950,070","297,727","48,520","102,935","17,736","17,187","484,105","2,270,836","1,217,545","1,358,044","461,449","717,144","6,025,018","1,140,951","1,260,769","2,441,468","1,269,216","191,494","6,303,898"
Charlotte,SC,0,"699,731","123,250",0,0,0,"822,981",0,0,0,0,0,0,0,"191,881","152,484","25,996","1,590","371,951","56,103","145,356","114,517","56,805",898,"373,679"
