,FEDERAL-AID URBANIZED AREA (3),STATE,"UN-
        REPORTED (4)",INTERNATIONAL ROUGHNESS INDEX (IRI) (1),INTERNATIONAL ROUGHNESS INDEX (1) / PRESENT SERVICEABILITY    RATING (PSR) (2),INTERSTATE,OTHER    FREEWAYS & EXPRESSWAYS,OTHER    PRINCIPAL ARTERIAL,MINOR  ARTERIAL (5),< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95.1,95-119.1,120-169.1,170-220.1,> 220.1,TOTAL REPORTED.1,< 95.2,95-119.2,120-169.2,170-220.2,> 220.2,TOTAL REPORTED.2,"<95
        
        >=3.5","95-119
        
        3.1-3.4","120-169
        
        2.6-3.0","170-220
        
        2.1-2.5",">220
        
        <=2.0","TOTAL
        REPORTED"
100,College Station--Bryan,TX,7,0,0,0,0,0,0,13,1,1,0,0,16,9,4,6,3,1,23,40,21,51,64,25,201,,,,,,
101,Colorado Springs,CO,0,18,4,3,1,0,26,10,3,3,2,0,19,4,4,17,11,4,40,55,21,63,55,53,247,,,,,,
102,Columbia,MO,1,7,0,1,0,0,8,8,0,0,0,0,8,5,2,2,1,0,9,6,8,19,9,8,51,,,,,,
103,Columbia,SC,0,14,9,9,3,0,34,6,0,1,0,0,7,3,11,9,2,1,26,41,65,106,24,10,245,,,,,,
104,Columbus,AL,14,0,0,0,0,0,0,2,0,0,0,0,2,7,0,0,0,0,7,3,0,0,0,0,3,,,,,,
105,Columbus,GA,0,10,2,2,0,0,14,11,3,4,1,0,18,32,9,10,6,4,60,8,4,3,1,0,15,,,,,,
106,Columbus,IN,10,13,1,1,0,0,14,0,0,0,0,0,0,17,4,1,1,1,23,19,1,1,0,0,21,,,,,,
107,Columbus,OH,0,11,3,3,1,0,18,12,1,1,0,0,15,21,6,7,3,3,41,186,118,166,78,95,642,,,,,,
108,Concord,CA,0,8,2,1,1,0,11,3,3,1,1,0,9,0,1,3,2,7,13,48,5,42,51,47,193,,,,,,
109,Concord,NC,2,26,4,2,0,0,32,0,0,0,0,0,0,37,18,9,3,3,70,55,22,37,19,4,137,,,,,,
110,Conroe--The Woodlands,TX,19,11,4,2,0,0,16,0,0,0,0,0,0,9,7,4,4,3,27,127,20,70,29,12,258,,,,,,
111,Conway,AR,16,6,0,0,0,0,6,0,0,0,0,0,0,2,1,1,1,0,5,5,50,14,2,3,73,,,,,,
112,Corpus Christi,TX,11,10,1,0,0,0,11,11,3,2,0,0,16,10,4,8,5,9,35,171,65,40,5,0,282,,,,,,
113,Corvallis,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,5,1,2,25,55,14,22,1,0,91,,,,,,
114,Cumberland,MD,0,8,1,0,0,0,9,0,0,0,0,0,0,9,3,1,0,1,15,7,7,11,5,6,36,,,,,,
115,Cumberland,WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,6,,,,,,
116,Dallas--Fort Worth--Arlington,TX,9,30,11,8,3,1,52,31,20,22,6,3,82,10,11,20,13,18,73,1496,724,1306,364,366,4256,,,,,,
117,Dalton,GA,0,15,0,0,0,0,16,0,0,0,0,0,0,16,4,3,1,1,26,44,10,3,0,1,58,,,,,,
118,Danbury,CT,0,7,1,2,0,0,10,4,0,0,0,0,5,1,2,2,1,2,9,5,10,31,24,46,116,,,,,,
119,Danville,IL,0,8,0,0,0,0,8,0,0,0,0,0,0,20,1,7,1,0,29,4,0,3,5,3,16,,,,,,
120,Daphne--Fairhope,AL,22,9,1,0,0,0,10,0,0,0,0,0,0,9,0,0,0,0,10,26,9,3,0,0,39,,,,,,
121,Davenport,IL,0,39,0,0,0,0,40,0,3,0,0,0,3,24,14,14,7,4,64,18,6,30,30,22,105,,,,,,
122,Davenport,IA,18,25,3,2,1,0,31,0,0,0,0,0,0,9,7,13,5,6,40,6,0,1,3,1,11,,,,,,
123,Davis,CA,0,1,0,0,0,0,1,3,0,0,0,0,3,0,0,0,1,1,2,3,9,8,3,7,31,,,,,,
124,Dayton,OH,0,15,3,3,1,0,22,9,1,1,0,0,12,13,8,11,5,3,39,45,38,111,68,50,312,,,,,,
125,Decatur,AL,13,7,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,3,0,3,,,,,,
126,Decatur,IL,0,13,0,0,0,0,13,4,0,1,4,0,9,17,11,21,7,1,58,0,24,25,24,20,92,,,,,,
127,DeKalb,IL,0,9,0,1,0,0,11,0,0,0,0,0,0,5,3,14,0,0,23,13,8,12,17,1,51,,,,,,
128,Delano,CA,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,13,1,6,9,4,33,,,,,,
129,Deltona,FL,0,8,1,0,0,0,10,0,0,0,0,0,0,13,2,1,0,0,17,55,16,60,5,15,150,,,,,,
130,Denton--Lewisville,TX,4,11,7,8,2,0,29,0,2,2,1,1,6,12,7,11,4,1,35,167,97,99,13,32,408,,,,,,
131,Denver--Aurora,CO,0,22,15,13,2,1,52,35,9,9,3,0,56,5,9,20,12,5,50,64,40,239,256,97,695,,,,,,
132,Des Moines,IA,36,39,9,6,1,0,55,0,0,0,0,0,0,37,33,29,15,9,124,8,17,42,21,16,104,,,,,,
133,Detroit,MI,2,49,12,8,3,0,71,28,7,6,1,1,43,16,22,36,29,39,142,266,5,1344,5,706,2326,,,,,,
134,Dothan,AL,9,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,1,0,14,23,1,8,1,0,32,,,,,,
135,Dover,DE,0,0,0,0,0,0,0,6,1,0,0,0,7,4,1,0,0,0,5,34,11,7,2,1,55,,,,,,
136,Dover--Rochester,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,2,1,0,8,,,,,,
137,Dover--Rochester,NH,0,0,0,0,0,0,0,17,1,0,0,0,17,4,1,1,0,0,6,23,28,61,1,1,113,,,,,,
138,Dubuque,IL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,6,0,0,0,3,0,3,,,,,,
139,Dubuque,IA,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,5,5,26,2,3,7,5,12,28,,,,,,
140,Duluth,MN,0,3,1,3,2,1,9,0,0,0,0,0,0,12,9,10,3,4,38,30,3,26,12,64,136,,,,,,
141,Duluth,WI,0,0,0,0,0,0,0,2,0,0,0,0,2,2,1,4,2,1,9,4,1,5,5,8,23,,,,,,
142,Durham,NC,3,40,2,0,0,0,43,22,6,3,0,1,33,21,18,25,14,13,91,27,29,39,16,20,130,,,,,,
143,East Stroudsburg,PA,0,10,1,1,1,0,13,0,0,0,0,0,0,1,0,0,0,0,2,0,10,17,6,13,46,,,,,,
144,Eau Claire,WI,0,4,2,0,0,0,6,6,3,1,0,0,10,6,2,3,1,1,12,9,17,20,25,7,78,,,,,,
145,El Centro--Calexico,CA,0,4,0,0,0,0,4,0,0,0,0,0,0,3,3,2,2,5,15,15,1,2,7,17,42,,,,,,
146,Elizabethtown--Radcliff,KY,14,2,0,0,0,0,3,1,0,0,0,0,1,16,3,1,0,0,21,5,2,2,0,0,10,,,,,,
147,Elkhart,IN,65,0,0,0,0,0,0,1,5,3,0,0,9,24,7,8,3,2,45,1,1,3,0,0,4,,,,,,
148,Elkhart,MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,,,,,,
149,Elmira,NY,13,0,0,0,1,0,1,0,0,0,0,0,0,6,1,1,1,1,11,10,17,12,4,1,44,,,,,,
150,El Paso,NM,1,6,0,0,0,0,6,0,0,0,0,0,0,8,1,1,0,0,11,14,6,10,5,1,35,,,,,,
151,El Paso,TX,3,15,7,4,1,0,27,17,6,4,1,0,27,18,9,12,4,3,47,194,26,138,80,17,455,,,,,,
152,El Paso de Robles (Paso Robles)--Atascadero,CA,0,0,0,0,0,0,0,7,0,0,0,0,8,3,0,1,0,0,4,19,0,11,9,27,66,,,,,,
153,Erie,PA,0,12,0,0,0,0,12,0,0,0,0,0,0,5,2,4,3,1,15,37,25,20,11,18,111,,,,,,
154,Eugene,OR,0,14,0,0,0,0,15,11,4,1,0,0,16,17,8,7,3,3,39,224,40,17,7,3,292,,,,,,
155,Evansville,IN,21,2,2,1,0,0,6,0,0,0,0,0,0,18,9,13,5,3,49,9,1,0,0,0,10,,,,,,
156,Evansville,KY,13,0,0,0,0,0,0,3,0,0,1,0,4,6,2,5,2,1,16,1,0,0,0,0,2,,,,,,
157,Fairbanks,AK,0,14,5,4,1,0,24,0,0,0,0,0,0,10,5,4,2,1,22,11,6,10,7,5,40,,,,,,
158,Fairfield,CA,0,7,0,0,0,0,8,2,0,2,1,0,6,1,1,2,1,1,6,1,0,0,0,41,42,,,,,,
159,Fargo,MN,0,6,0,0,0,0,6,0,0,0,0,0,0,9,2,2,1,2,16,5,0,8,6,12,32,,,,,,
160,Fargo,ND,0,13,3,0,0,0,16,0,0,0,0,0,0,1,2,4,1,1,11,11,5,54,10,4,84,,,,,,
161,Farmington,NM,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,1,9,16,3,6,7,4,37,,,,,,
162,Fayetteville,NC,4,11,0,0,0,0,11,13,1,1,0,0,15,50,21,20,7,7,106,63,41,40,12,8,165,,,,,,
163,Fayetteville--Springdale--Rogers,AR,12,7,1,1,0,0,9,2,0,0,0,0,3,12,2,1,0,0,16,74,101,94,116,35,420,,,,,,
164,Fayetteville--Springdale--Rogers,MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
165,Flagstaff,AZ,12,14,4,2,0,0,20,0,0,0,0,0,0,5,1,1,0,1,7,4,1,1,0,1,7,,,,,,
166,Flint,MI,0,28,1,5,4,1,39,7,3,1,0,0,11,2,2,5,5,9,23,132,7,166,1,176,482,,,,,,
167,Florence,AL,15,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,8,0,0,0,0,0,0,,,,,,
168,Florence,SC,0,7,5,0,0,0,12,0,1,0,0,0,2,4,2,2,1,0,9,9,19,36,11,3,79,,,,,,
169,Fond du Lac,WI,0,1,1,1,0,0,3,0,0,0,0,0,0,1,2,2,0,1,6,10,7,12,12,20,60,,,,,,
170,Fort Collins,CO,0,8,2,2,0,0,13,1,2,3,0,0,6,6,2,5,3,1,17,44,43,79,20,6,193,,,,,,
171,Fort Smith,AR,5,9,0,0,0,0,9,0,0,0,0,0,0,0,1,2,1,1,5,9,42,40,31,46,169,,,,,,
172,Fort Smith,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,0,0,6,0,0,6,,,,,,
173,Fort Walton Beach--Navarre--Wright,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,19,65,5,7,0,0,77,,,,,,
174,Fort Wayne,IN,68,17,5,5,2,1,30,4,1,0,0,0,5,15,3,4,2,1,24,17,1,2,0,0,20,,,,,,
175,Frederick,MD,0,6,0,0,0,0,7,9,1,0,0,0,10,2,2,2,2,2,10,6,5,14,11,7,42,,,,,,
176,Fredericksburg,VA,3,12,1,0,0,0,13,0,0,0,0,0,0,14,10,10,3,1,38,10,7,6,4,3,30,,,,,,
