Rank,Institution,Other agency R&D expendituresa,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23,shift
316.0,Ball State U.,600.0,,0.0,,0.0,,374.0,,0.0,,2.0,,12.0,,18.0,,0.0,,0.0,,194.0,,0
316.0,New Mexico Institute of Mining and Technology,600.0,,78.0,,243.0,,0.0,,0.0,,33.0,,0.0,,0.0,,0.0,,246.0,,0.0,,0
318.0,U. South Dakota,590.0,,0.0,,10.0,,360.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,220.0,,0
319.0,Skidmore C.,582.0,,0.0,,0.0,,491.0,,0.0,,0.0,,0.0,,91.0,,0.0,,0.0,,0.0,,0
320.0,Rush U.,561.0,,0.0,,0.0,,561.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
321.0,"California State U., San Bernardino",559.0,,0.0,,0.0,,14.0,,126.0,,0.0,,0.0,,0.0,,0.0,,88.0,,331.0,,0
322.0,Coastal Carolina U.,553.0,,0.0,,525.0,,28.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
323.0,"Purdue U., North Central",541.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,541.0,,0
324.0,"Arkansas State U., Jonesboro",540.0,,0.0,,0.0,,383.0,,0.0,,51.0,,0.0,,9.0,,0.0,,66.0,,31.0,,0
325.0,Mercyhurst U.,535.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,35.0,,0.0,,0.0,,500.0,,0
326.0,Texas A&M International U.,533.0,,0.0,,0.0,,156.0,,146.0,,0.0,,175.0,,0.0,,56.0,,0.0,,0.0,,0
327.0,Duquesne U.,510.0,,0.0,,0.0,,31.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,479.0,,0
328.0,Clark U.,509.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,341.0,,0.0,,0.0,,168.0,,0
328.0,Tennessee State U.,509.0,,0.0,,0.0,,0.0,,202.0,,0.0,,0.0,,70.0,,0.0,,232.0,,5.0,,0
330.0,"Rutgers, State U. New Jersey, Camden",507.0,,0.0,,0.0,,229.0,,0.0,,0.0,,0.0,,47.0,,0.0,,0.0,,231.0,,0
331.0,"CUNY, Queens C.",497.0,,0.0,,11.0,,7.0,,0.0,,0.0,,0.0,,16.0,,0.0,,0.0,,463.0,,0
332.0,Northwest Indian C.,487.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,19.0,i,0.0,i,0.0,i,468.0,i,0
333.0,"SUNY, C. Brockport",483.0,,0.0,,0.0,,483.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
334.0,Tennessee Technological U.,482.0,,0.0,,0.0,,301.0,,0.0,,0.0,,0.0,,0.0,,0.0,,176.0,,5.0,,0
335.0,"SUNY, Buffalo State",480.0,,0.0,,443.0,,30.0,,0.0,,0.0,,0.0,,0.0,,7.0,,0.0,,0.0,,0
336.0,"California State U., Long Beach",470.0,,0.0,,90.0,,64.0,,39.0,,0.0,,87.0,,50.0,,0.0,,76.0,,64.0,,0
337.0,"U. Missouri, Kansas City",467.0,,3.0,,6.0,,0.0,,0.0,,0.0,,0.0,,156.0,,0.0,,99.0,,203.0,,0
338.0,Mills C.,465.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,465.0,,0
339.0,Grand Valley State U.,458.0,,0.0,,353.0,,73.0,,0.0,,0.0,,0.0,,0.0,,0.0,,32.0,,0.0,,0
339.0,Plymouth State U.,458.0,,0.0,,71.0,,8.0,,0.0,,0.0,,0.0,,14.0,,0.0,,0.0,,365.0,,0
341.0,Delaware State U.,457.0,,0.0,,98.0,,263.0,,80.0,,0.0,,0.0,,0.0,,0.0,,0.0,,16.0,,0
342.0,Wright State U.,456.0,,53.0,,15.0,,122.0,,49.0,,4.0,,3.0,,10.0,,0.0,,83.0,,117.0,,0
343.0,U. North Florida,454.0,,0.0,,0.0,,53.0,,0.0,,22.0,,0.0,,37.0,,0.0,,328.0,,14.0,,0
344.0,"California State U., Los Angeles",451.0,,0.0,,0.0,,0.0,,0.0,,2.0,,0.0,,0.0,,0.0,,20.0,,429.0,,0
345.0,Texas Woman's U.,450.0,,0.0,,0.0,,27.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,423.0,,0
346.0,U. Wisconsin-La Crosse,447.0,,0.0,,11.0,,415.0,,5.0,,15.0,,0.0,,1.0,,0.0,,0.0,,0.0,,0
347.0,Air Force Institute of Technology,445.0,,170.0,,112.0,,0.0,,0.0,,163.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
347.0,Sam Houston State U.,445.0,,0.0,,0.0,,123.0,,0.0,,0.0,,24.0,,297.0,,0.0,,0.0,,1.0,,0
349.0,"California State U., Monterey Bay",435.0,,222.0,,212.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
