Rank,Institution,2013,Unnamed: 3,2014,Unnamed: 5,2015,All engineering,Unnamed: 8,Aeronautical and astronautical engineering,Unnamed: 10,Bioengineering and biomedical engineering,Unnamed: 12,Chemical engineering,Unnamed: 14,Civil engineering,Unnamed: 16,Electrical engineering,Unnamed: 18,Mechanical engineering,Unnamed: 20,Metallurgical and materials engineering,Unnamed: 22,"Engineering, nec  "
161.0,Clarkson U.,3582,,4118,,4099,,0,,0,,360,,2034,,816,,889,,0,,0,
162.0,U. Wyoming,4355,,3086,,4053,,0,,0,,1822,,914,,190,,453,,0,,674,
163.0,Boise State U.,4642,,4587,,4051,,27,,181,,0,,90,,657,,3,,2264,,829,
164.0,"U. California, Merced",4135,,3980,,3955,,0,,36,,0,,2214,,847,,676,,182,,0,
165.0,Morgan State U.,4470,,4374,,3926,,0,,0,,0,,1119,,2244,,0,,0,,563,
166.0,Alabama A&M U.,3741,i,3735,i,3729,i,0,i,0,i,0,i,731,i,1623,i,870,i,505,i,0,i
167.0,"U. Alaska, Fairbanks",9670,,5778,,3689,,393,,0,,0,,2047,,1083,,0,,0,,166,
168.0,"SUNY, Binghamton U.",4066,,3700,,3685,,0,,841,,0,,0,,1762,,826,,0,,256,
169.0,U. Mississippi,4274,,3505,,3511,,0,,0,,1228,,296,,9,,601,,0,,1377,
170.0,U. Georgia,3766,,3301,,3427,,0,,467,,0,,0,,0,,0,,0,,2960,
171.0,"Indiana U.-Purdue U., Indianapolis",3727,,4637,,3420,,0,,1408,,0,,0,,696,,1111,,0,,205,
172.0,"U. North Carolina, Chapel Hill",2758,,3277,,3321,,0,,3018,,0,,0,,0,,0,,0,,303,
173.0,"U. Maryland, Baltimore",3286,,3216,,3301,,0,,3301,,0,,0,,0,,0,,0,,0,
174.0,U. Rhode Island,5498,,3895,,3215,,0,,0,,468,,330,,1139,,690,,0,,588,
175.0,U. Memphis,3728,,3952,,3163,,0,,646,,0,,1772,,701,,44,,0,,0,
176.0,"California State U., Sacramento",2503,,2190,,3126,,0,,0,,0,,3072,,54,,0,,0,,0,
177.0,U. Miami,4425,,3724,,3085,,0,,479,,0,,461,,1433,,436,,0,,276,
178.0,San Diego State U.,2946,,2519,,3050,,449,,483,,0,,263,,570,,1278,,0,,7,
179.0,Norfolk State U.,3527,,3694,,3005,,0,,0,,0,,0,,477,,0,,0,,2528,
180.0,U. Wisconsin-Milwaukee,3897,,4057,,2865,,0,,0,,0,,436,,227,,1241,,752,,209,
181.0,Marquette U.,1466,,1505,,2862,,0,,749,,0,,60,,431,,560,,0,,1062,
182.0,U. Texas Pan American,2425,,3915,,2776,,0,,0,,0,,943,,156,,416,,0,,1261,
183.0,Northern Illinois U.,1507,,1753,,2756,,0,,0,,0,,0,,2,,265,,0,,2489,
184.0,Tuskegee U.,6235,,6926,i,2607,i,191,i,0,i,147,i,136,i,892,i,464,i,213,i,564,i
185.0,Tulane U.,2407,,2530,,2547,,0,,1269,,1200,,9,,69,,0,,0,,0,
186.0,Southern Methodist U.,3412,,2999,,2411,,0,,0,,0,,206,,762,,751,,0,,692,
187.0,"U. Massachusetts, Dartmouth",1697,,2945,,2368,,0,,302,,0,,360,,1231,,475,,0,,0,
188.0,Florida A&M U.,2044,,2018,,2362,,0,,0,,491,,362,,326,,302,,0,,881,
189.0,Jackson State U.,2567,,2512,,2323,,0,,0,,0,,1527,,796,,0,,0,,0,
190.0,Temple U.,2560,,2365,,2272,,0,,338,,0,,1302,,446,,186,,0,,0,
191.0,Idaho State U.,2974,,3000,,2265,,0,,0,,0,,290,,0,,147,,0,,1828,
192.0,Western Michigan U. and Homer Stryker M.D. School of Medicine,1330,,1361,,2140,,185,,0,,306,,931,,87,,360,,0,,271,
193.0,Louisiana Tech U.,4396,,2692,,1977,,0,,753,,229,,125,,161,,297,,199,,213,
194.0,South Dakota State U.,5331,,3613,,1952,,0,,0,,0,,653,,533,,89,,0,,677,
195.0,"U. Puerto Rico, Rio Piedras",0,,1237,,1950,,0,,1950,,0,,0,,0,,0,,0,,0,
196.0,Montana Tech of U. Montana,1274,,1320,,1884,,0,,0,,0,,71,,685,,0,,976,,152,
197.0,Florida Atlantic U.,2550,,2434,,1876,,0,,0,,0,,331,,0,,0,,0,,1545,
198.0,U. Denver,2530,,2301,,1796,,45,,296,,0,,0,,1112,,125,,218,,0,
199.0,"Purdue U., Calumet",1056,,1239,,1783,,0,,0,,0,,0,,961,,111,,0,,711,
200.0,Tennessee State U.,1784,,2037,,1745,,0,,0,,0,,452,,521,,772,,0,,0,
201.0,"U. Michigan, Dearborn",2937,,2764,,1730,,0,,0,,0,,0,,839,,379,,0,,512,
202.0,Texas State U.,2192,,997,,1723,,0,,66,,0,,0,,425,,0,,542,,690,
203.0,North Dakota State U.,3744,,2168,,1714,,0,,0,,0,,403,,134,,515,,0,,662,
204.0,Villanova U.,1414,,1319,,1667,,0,,0,,37,,2,,14,,70,,0,,1544,
205.0,Tennessee Technological U.,1487,,1643,,1622,,0,,0,,257,,651,,0,,271,,0,,443,
206.0,"Southern U. and A&M C., Baton Rouge",1722,,1549,,1612,,0,,0,,0,,210,,296,,1106,,0,,0,
207.0,U. Tulsa,1390,,1266,,1524,,0,,0,,414,,0,,1,,1079,,0,,30,
208.0,Rowan U.,1127,,1027,,1430,,0,,0,,297,,657,,296,,85,,0,,95,
209.0,Hofstra U.,160,,194,,1429,,0,,0,,0,,0,,0,,0,,0,,1429,
210.0,U. Texas Medical Branch,2324,,1846,,1423,,0,,1423,,0,,0,,0,,0,,0,,0,
211.0,Oakland U.,2183,,1538,,1396,,0,,0,,0,,0,,268,,1128,,0,,0,
212.0,Saint Louis U.,1493,,989,,1389,,1175,,0,,0,,195,,0,,0,,0,,19,
213.0,"California State U., Los Angeles",3197,,1881,,1357,,0,,0,,0,,779,,466,,0,,0,,112,
214.0,Desert Research Institute,0,,0,,1343,,0,,0,,0,,225,,0,,0,,0,,1118,
215.0,Alfred U.,909,,1040,,1278,,0,,0,,0,,0,,0,,0,,1278,,0,
216.0,Florida Institute of Technology,1482,,1328,,1272,,182,,100,,1,,19,,463,,415,,0,,92,
217.0,U. South Alabama,1460,,1363,,1235,,0,,37,,832,,181,,110,,71,,0,,4,
218.0,South Carolina State U.,2427,i,1830,i,1233,,0,,0,,0,,0,,0,,0,,0,,1233,
219.0,Marshall U.,3532,,2095,,1225,,0,,0,,0,,187,,0,,0,,976,,62,
220.0,Catholic U. of America,1649,,1291,,1204,,0,,256,,0,,244,,372,,332,,0,,0,
221.0,Prairie View A&M U.,3003,,1730,,1145,,0,,0,,152,,87,,696,,90,,0,,120,
222.0,"U. Arkansas, Little Rock",1559,,1258,,1140,,619,,0,,88,,1,,20,,198,,56,,158,
223.0,"Southern Illinois U., Carbondale",891,,1029,,1113,,0,,0,,35,,225,,415,,253,,91,,94,
224.0,Franklin W. Olin C. of Engineering,946,,1050,,1103,,25,,37,,0,,0,,0,,465,,304,,272,
225.0,"U. Tennessee, Chattanooga",1588,,1047,,1025,,0,,0,,1,,214,,47,,0,,0,,763,
226.0,"U. Louisiana, Lafayette",995,,716,,1021,,0,,0,,288,,141,,39,,553,,0,,0,
227.0,"U. Tennessee, Knoxville, Institute of Agriculture",1728,,1240,,962,,0,,0,,0,,0,,0,,0,,0,,962,
228.0,"U. Nebraska, Omaha",1149,,751,,949,,949,,0,,0,,0,,0,,0,,0,,0,
229.0,Lawrence Technological U.,928,,739,,906,,0,,12,,0,,795,,97,,2,,0,,0,
230.0,Texas A&M U.-Kingsville,1510,,2045,,884,,0,,0,,0,,120,,40,,561,,0,,163,
231.0,Hampton U.,869,,829,,870,,17,,0,,471,,0,,382,,0,,0,,0,
232.0,"California State Polytechnic U., Pomona",165,,316,,851,,69,,0,,281,,180,,278,,43,,0,,0,
233.0,Smith C.,222,,504,,785,,19,,145,,0,,24,,87,,0,,0,,510,
234.0,Virginia State U.,1101,,1036,,782,,32,,0,,26,,0,,0,,0,,0,,724,
235.0,West Texas A&M U.,489,,330,,770,,0,,0,,0,,223,,0,,172,,0,,375,
236.0,Valparaiso U.,37,,411,,766,,0,,0,,0,,0,,0,,766,,0,,0,
237.0,U. Hartford,997,,879,,747,,0,,0,,0,,35,,0,,712,,0,,0,
238.0,U. Southern Maine,28,,27,i,740,i,0,i,0,i,0,i,0,i,349,i,187,i,0,i,204,i
