Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All social sciences,Unnamed: 10,Economics,Unnamed: 12,Political science,Unnamed: 14,Sociology,Unnamed: 16,"Social sciences, nec",Unnamed: 18,shift
438.0,Ithaca C.,8,,24,,51,,25.0,,0.0,,0.0,,23.0,,2.0,,,0
438.0,U. New Haven,0,,576,,12,i,25.0,,0.0,,0.0,,0.0,,25.0,,,0
440.0,Mercer U.,192,,96,,32,,24.0,,0.0,,0.0,,0.0,,24.0,,,0
440.0,Virginia State U.,151,,80,,107,,24.0,,24.0,,0.0,,0.0,,0.0,,,0
442.0,Christopher Newport U.,17,,10,,119,,23.0,,10.0,,0.0,,13.0,,0.0,,,0
442.0,Florida Gulf Coast U.,326,,123,,20,,23.0,,1.0,,0.0,,0.0,,22.0,,,0
444.0,"California State Polytechnic U., Pomona",37,,56,i,52,,21.0,,0.0,,0.0,,0.0,,21.0,,,0
444.0,Seattle U.,1,,ne,,59,,21.0,,21.0,,0.0,,0.0,,0.0,,,0
446.0,"SUNY, C. Brockport",3,,33,,40,,18.0,,1.0,,5.0,,8.0,,4.0,,,0
447.0,"California State U., Bakersfield",90,,64,,51,,17.0,,0.0,,6.0,,11.0,,0.0,,,0
447.0,U. Tampa,ne,,0,,47,,17.0,,0.0,,0.0,,10.0,,7.0,,,0
447.0,Western Carolina U.,274,,28,,36,,17.0,,0.0,,0.0,,17.0,,0.0,,,0
447.0,Youngstown State U.,532,,644,,296,,17.0,,0.0,,0.0,,17.0,,0.0,,,0
451.0,Furman U.,23,,20,,14,,15.0,,14.0,,1.0,,0.0,,0.0,,,0
451.0,Texas A&M International U.,91,,171,,55,,15.0,,0.0,,0.0,,4.0,,11.0,,,0
451.0,U. Houston-Downtown,0,,15,,0,,15.0,,0.0,,8.0,,0.0,,7.0,,,0
454.0,Emerson C.,ne,,ne,,ne,,14.0,,0.0,,10.0,,0.0,,4.0,,,0
454.0,Savannah State U.,8,,0,,14,,14.0,,0.0,,14.0,,0.0,,0.0,,,0
454.0,U. Guam,140,,39,,14,,14.0,,0.0,,0.0,,0.0,,14.0,,,0
457.0,Florida Atlantic U.,2734,,29,,37,,13.0,,0.0,,0.0,,0.0,,13.0,,,0
458.0,U.S. Naval Academy,8,,7,,5,,12.0,,12.0,,0.0,,0.0,,0.0,,,0
459.0,Murray State U.,1,,0,,11,,11.0,,10.0,,1.0,,0.0,,0.0,,,0
460.0,Pacific U.,93,,0,,42,i,10.0,,0.0,,0.0,,10.0,,0.0,,,0
461.0,"Arkansas State U., Jonesboro",75,,25,,4,,9.0,,0.0,,0.0,,0.0,,9.0,,,0
461.0,Oregon Institute of Technology,ne,,ne,,ne,,9.0,,0.0,,0.0,,9.0,,0.0,,,0
461.0,U. Colorado Colorado Springs,0,,13,,28,,9.0,,0.0,,0.0,,0.0,,9.0,,,0
464.0,Eastern Kentucky U.,57,,0,,3,,8.0,,0.0,,0.0,,5.0,,3.0,,,0
464.0,Saint Michael's C.,ne,,19,,21,,8.0,,4.0,,0.0,,4.0,,0.0,,,0
464.0,"St. John's U., Manhattan",18,,1,,0,,8.0,,0.0,,0.0,,8.0,,0.0,,,0
467.0,"U. North Carolina, general administration",ne,,ne,,ne,,7.0,,7.0,,0.0,,0.0,,0.0,,,0
467.0,Wiley C.,0,,0,,18,,7.0,,0.0,,0.0,,0.0,,7.0,,,0
469.0,Tennessee Technological U.,4,,5,,5,,6.0,,0.0,,6.0,,0.0,,0.0,,,0
470.0,Claflin U.,0,,8,,6,,5.0,,5.0,,0.0,,0.0,,0.0,,,0
470.0,Providence C.,ne,,0,,ne,,5.0,,0.0,,5.0,,0.0,,0.0,,,0
472.0,Bastyr U.,0,,0,,0,,4.0,,0.0,,0.0,,0.0,,4.0,,,0
472.0,Coastal Carolina U.,22,,45,,39,,4.0,,0.0,,0.0,,0.0,,4.0,,,0
472.0,Florida Polytechnic U.,na,,na,,na,,4.0,,4.0,,0.0,,0.0,,0.0,,,0
472.0,Lafayette C.,49,,53,,37,,4.0,,4.0,,0.0,,0.0,,0.0,,,0
476.0,Bradley U.,9,,22,,7,,3.0,,0.0,,3.0,,0.0,,0.0,,,0
476.0,Prairie View A&M U.,0,,0,,8,,3.0,,0.0,,0.0,,3.0,,0.0,,,0
476.0,Rhode Island C.,0,,0,,0,,3.0,,3.0,,0.0,,0.0,,0.0,,,0
476.0,"U. Arkansas, Pine Bluff",35,,26,,35,,3.0,,0.0,,0.0,,3.0,,0.0,,,0
480.0,Barry U.,0,,0,,2,,2.0,,0.0,,0.0,,2.0,,0.0,,,0
480.0,Rhode Island School of Design,ne,,ne,,ne,,2.0,,0.0,,0.0,,0.0,,2.0,,,0
480.0,U. Central Oklahoma,101,,156,,56,,2.0,,0.0,,0.0,,0.0,,2.0,,,0
480.0,"U. Tennessee, Chattanooga",118,,20,,2,,2.0,,0.0,,1.0,,1.0,,0.0,,,0
480.0,Valparaiso U.,4,,6,,12,,2.0,,1.0,,0.0,,1.0,,0.0,,,0
485.0,"CUNY, Medgar Evers C.",450,,221,,0,,1.0,,0.0,,0.0,,0.0,,1.0,,,0
485.0,Elizabeth City State U.,0,,0,,0,,1.0,,0.0,,0.0,,0.0,,1.0,,,0
All other surveyed institutions,15852,,10993,,9892,,0.0,,0.0,,0.0,,0.0,,0.0,,,,-1
