Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All physical sciences,Unnamed: 10,Astronomy,Unnamed: 12,Chemistry,Unnamed: 14,Physics,Unnamed: 16,"Physical sciences, nec",Unnamed: 18,shift
206.0,San Jose State U.,1382,,1234,,1204,,1294.0,,0.0,,571.0,,721.0,,2.0,,,0
206.0,Wesleyan U.,1417,,1186,,807,,1294.0,,415.0,,300.0,,579.0,,0.0,,,0
208.0,"U. Missouri, Kansas City",2511,,1541,,1978,,1265.0,,0.0,,197.0,,1068.0,,0.0,,,0
209.0,Central Michigan U.,913,,688,,1070,,1259.0,,0.0,,338.0,,921.0,,0.0,,,0
210.0,Louisiana Tech U.,1786,,1367,,1217,,1243.0,,0.0,,879.0,,364.0,,0.0,,,0
211.0,San Diego State U.,2924,,2502,,1979,,1225.0,,370.0,,578.0,,277.0,,0.0,,,0
212.0,Tuskegee U.,223,,68,,258,i,1198.0,i,0.0,i,478.0,i,720.0,i,0.0,i,,0
213.0,Morgan State U.,521,,867,,839,,1184.0,,0.0,,313.0,,871.0,,0.0,,,0
214.0,Marquette U.,1769,,1844,,1394,,1179.0,,0.0,,1103.0,,76.0,,0.0,,,0
215.0,"California State U., Long Beach",1565,i,1490,,1899,,1172.0,,0.0,,901.0,,271.0,,0.0,,,0
216.0,South Dakota School of Mines and Technology,692,,639,,688,,1162.0,,0.0,,872.0,,290.0,,0.0,,,0
217.0,American U.,738,,976,,1134,,1147.0,,0.0,,129.0,,1018.0,,0.0,,,0
218.0,"California State U., Los Angeles",1924,,1367,,1193,,1114.0,,0.0,,858.0,,256.0,,0.0,,,0
219.0,"Rutgers, State U. New Jersey, Newark",1028,,473,,1025,,1100.0,,0.0,,713.0,,114.0,,273.0,,,0
220.0,"California State U., San Bernardino",256,,607,,720,,1088.0,,111.0,,0.0,,859.0,,118.0,,,0
221.0,Haverford C.,708,,897,,693,,1059.0,,362.0,,220.0,,477.0,,0.0,,,0
222.0,Drexel U.,2235,,1263,,878,,1028.0,,0.0,,23.0,,1005.0,,0.0,,,0
223.0,"Southern Illinois U., Carbondale",1774,,1413,,1096,,1022.0,,0.0,,474.0,,505.0,,43.0,,,0
223.0,Worcester Polytechnic Institute,1160,,1051,,767,,1022.0,,0.0,,491.0,,531.0,,0.0,,,0
225.0,"California State U., Fullerton",920,,1062,,1183,,1017.0,,52.0,,344.0,,621.0,,0.0,,,0
226.0,Prairie View A&M U.,827,,852,,1048,,993.0,,214.0,,660.0,,119.0,,0.0,,,0
227.0,Creighton U.,764,i,1354,i,1263,i,990.0,i,0.0,i,395.0,i,595.0,i,0.0,i,,0
228.0,Norfolk State U.,361,,864,,1154,,978.0,,0.0,,123.0,,855.0,,0.0,,,0
229.0,Mount Holyoke C.,1037,,904,,1185,,946.0,,551.0,,96.0,,299.0,,0.0,,,0
230.0,U. Maine,1325,,884,,1209,,931.0,,0.0,,5.0,,926.0,,0.0,,,0
231.0,South Dakota State U.,1597,,1809,,1187,,928.0,,0.0,,926.0,,2.0,,0.0,,,0
232.0,Embry-Riddle Aeronautical U.,273,,400,,732,,924.0,,54.0,,0.0,,289.0,,581.0,,,0
