Rank,Institution,All R&D expenditures,Unnamed: 3,Source of funds,Federal government,Unnamed: 6,State and local government,Unnamed: 8,Institution funds,Unnamed: 10,Business,Unnamed: 12,Nonprofit organizations,Unnamed: 14,All other sources,Unnamed: 16,shift
141.0,"Montana State U., Bozeman",108414.0,,69136.0,,3540.0,,28817.0,,1662.0,,2490.0,,2769.0,,,0
142.0,George Mason U.,106410.0,,63600.0,,1711.0,,31775.0,,2858.0,,5593.0,,873.0,,,0
143.0,Rensselaer Polytechnic Institute,102841.0,,59528.0,,7592.0,,26143.0,,7715.0,,1863.0,,0.0,,,0
144.0,"U. Texas, Dallas",98551.0,,31068.0,,10753.0,,33424.0,,6357.0,,16949.0,,0.0,,,0
145.0,U. Dayton,98182.0,,77973.0,,8943.0,,4191.0,,6271.0,,599.0,,205.0,,,0
146.0,U. Idaho,97493.0,,50559.0,,26571.0,,15077.0,,1745.0,,1404.0,,2137.0,,,0
147.0,U. Mississippi,94040.0,,59978.0,,2108.0,,19260.0,,8476.0,,3112.0,,1106.0,,,0
148.0,U. Rhode Island,93828.0,,64711.0,,7629.0,,15599.0,,2890.0,,1026.0,,1973.0,,,0
149.0,San Diego State U.,93572.0,,46870.0,,5445.0,,36941.0,,311.0,,2469.0,,1536.0,,,0
150.0,"U. Nevada, Reno",90138.0,,51724.0,,10797.0,,20917.0,,1491.0,,1551.0,,3658.0,,,0
151.0,"U. Texas, El Paso",89418.0,,41897.0,,18282.0,,17205.0,,1359.0,,2906.0,,7769.0,,,0
152.0,Naval Postgraduate School,89170.0,,78780.0,,70.0,,9123.0,,439.0,,0.0,,758.0,,,0
153.0,"U. Alabama, Huntsville",88439.0,,67451.0,,1450.0,,18099.0,,1403.0,,9.0,,27.0,,,0
154.0,Cold Spring Harbor Laboratory,84653.0,,49063.0,,219.0,,9964.0,,3906.0,,21501.0,,0.0,,,0
155.0,"SUNY, Binghamton U.",79895.0,,16171.0,,2339.0,,57308.0,,3096.0,,388.0,,593.0,,,0
156.0,U. Oregon,79698.0,,69723.0,,1106.0,,4497.0,,593.0,,3779.0,,0.0,,,0
157.0,U. Maine,79500.0,,35369.0,,15619.0,,23601.0,,2700.0,,1217.0,,994.0,,,0
158.0,Rush U.,79048.0,,52193.0,,1335.0,,9277.0,,11856.0,,4387.0,,0.0,,,0
159.0,"U. Texas, Arlington",77798.0,,27712.0,,16253.0,,23837.0,,8751.0,,978.0,,267.0,,,0
