Rank,Institution,All non-medical school R&D expenditures,Unnamed: 3,All medical school R&D expenditures,Unnamed: 5,All R&D expenditures,Unnamed: 7,shift
504.0,"California State U., Chico",1837.0,,0.0,,1837.0,,0
505.0,U. New Haven,1832.0,,0.0,,1832.0,,0
506.0,Niagara U.,1828.0,,0.0,,1828.0,,0
507.0,Savannah State U.,1801.0,,0.0,,1801.0,,0
508.0,"CUNY, system office",1782.0,,0.0,,1782.0,,0
509.0,Skidmore C.,1772.0,,0.0,,1772.0,,0
510.0,Eastern Michigan U.,1761.0,,0.0,,1761.0,,0
511.0,New York Institute of Technology,1758.0,,2411.0,,4169.0,,0
512.0,Colby C.,1748.0,,0.0,,1748.0,,0
513.0,Rider U.,1726.0,,0.0,,1726.0,,0
514.0,"U. Texas, Permian Basin",1725.0,,0.0,,1725.0,,0
515.0,Keck Graduate Institute,1722.0,,0.0,,1722.0,,0
516.0,Wheeling Jesuit U.,1721.0,,0.0,,1721.0,,0
517.0,"Trinity C., Hartford",1717.0,,0.0,,1717.0,,0
518.0,U. Hartford,1701.0,,0.0,,1701.0,,0
519.0,"Palmer C. of Chiropractic, Davenport",1698.0,,0.0,,1698.0,,0
520.0,Lafayette C.,1693.0,,0.0,,1693.0,,0
521.0,Eastern Kentucky U.,1681.0,,0.0,,1681.0,,0
522.0,Valparaiso U.,1678.0,,0.0,,1678.0,,0
523.0,McNeese State U.,1672.0,,0.0,,1672.0,,0
523.0,"U. Louisiana, Monroe",1672.0,,0.0,,1672.0,,0
525.0,Santa Clara U.,1659.0,,0.0,,1659.0,,0
526.0,Siena C.,1623.0,,0.0,,1623.0,,0
527.0,"Indiana U., South Bend",1619.0,,0.0,,1619.0,,0
528.0,Roseman U. of Health Sciences,1602.0,,1685.0,,3287.0,,0
529.0,Middlebury C.,1599.0,,0.0,,1599.0,,0
530.0,"U. South Florida, Sarasota-Manatee",1595.0,,0.0,,1595.0,,0
531.0,Nicholls State U.,1591.0,,0.0,,1591.0,,0
532.0,"U. Alaska, Southeast",1588.0,,0.0,,1588.0,,0
533.0,"Union C., Schenectady",1560.0,,0.0,,1560.0,,0
534.0,Occidental C.,1544.0,,0.0,,1544.0,,0
535.0,California Maritime Academy,1542.0,,0.0,,1542.0,,0
536.0,Indiana State U.,1541.0,,0.0,,1541.0,,0
537.0,U. Houston-Clear Lake,1535.0,,0.0,,1535.0,,0
538.0,Saint Michael's C.,1532.0,,0.0,,1532.0,,0
539.0,Spelman C.,1524.0,,0.0,,1524.0,,0
