Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17,2015.1,Unnamed: 19,shift
206.0,Pace U.,381,,406,,539,,474.0,,355,,266,,337,,348.0,,,,0
206.0,Wellesley C.,306,,390,,506,,474.0,,306,,390,,506,,474.0,,,,0
206.0,Williams C.,429,,449,,387,,474.0,,198,,274,,160,,284.0,,,,0
209.0,"Columbia U., Teachers C.",219,,265,,355,,459.0,,152,,107,,157,,242.0,,,,0
210.0,"CUNY, Hunter C.",643,,767,,357,,456.0,,371,,459,,165,,265.0,,,,0
211.0,"California State U., Monterey Bay",327,,206,,291,,454.0,,264,,206,,248,,271.0,,,,0
212.0,Hampton U.,438,,245,,453,,429.0,,438,,245,,453,,429.0,,,,0
213.0,Fordham U.,213,,439,,458,,418.0,,146,,370,,383,,280.0,,,,0
214.0,U. Southern Mississippi,1163,,688,,397,,417.0,,707,,406,,288,,246.0,,,,0
215.0,Northern Illinois U.,425,,485,,699,i,411.0,,400,,458,,513,,411.0,,,,0
216.0,U. Louisville,658,,537,,520,,405.0,,578,,382,,437,,342.0,,,,0
217.0,U. Rhode Island,645,,386,,432,,399.0,,596,,369,,430,,351.0,,,,0
218.0,Howard U.,883,,703,,629,,391.0,,860,,693,,622,,363.0,,,,0
219.0,Willamette U.,23,,7,,132,,387.0,,12,,7,,124,,77.0,,,,0
220.0,"CUNY, John Jay C. of Criminal Justice",327,,405,,310,,386.0,,225,,367,,259,,377.0,,,,0
221.0,Smith C.,433,,257,,244,,382.0,,413,,237,,222,,366.0,,,,0
221.0,"U. Texas, Brownsville",646,,350,,418,,382.0,,640,,349,,370,,345.0,,,,0
221.0,Virginia Commonwealth U.,446,,396,,244,,382.0,,354,,357,,222,,334.0,,,,0
224.0,Idaho State U.,803,,537,,1,,380.0,,364,,537,,1,,380.0,,,,0
225.0,"Trinity C., Hartford",84,,101,,300,,363.0,,74,,98,,292,,339.0,,,,0
226.0,U. Houston-Downtown,369,,221,,195,,345.0,,317,,221,,183,,336.0,,,,0
227.0,C. Charleston,292,,294,,283,,334.0,,243,,225,,126,,301.0,,,,0
228.0,Vassar C.,332,,266,,304,,333.0,i,332,,266,,304,,306.0,,,,0
229.0,U. Texas Pan American,557,,334,,653,,326.0,,491,,315,,353,,195.0,,,,0
230.0,U. Central Arkansas,194,,176,,284,,321.0,,166,,176,,236,,197.0,,,,0
230.0,Xavier U. Louisiana,316,,539,,272,,321.0,,296,,518,,251,,280.0,,,,0
232.0,"U. Montana, Missoula",172,,333,,349,,319.0,,169,,331,,343,,306.0,,,,0
233.0,New School,1048,,1781,,1365,,318.0,,981,,1389,,953,,266.0,,,,0
234.0,Prairie View A&M U.,491,,428,,337,,316.0,,402,,373,,269,,228.0,,,,0
235.0,Marist C.,ne,,ne,,ne,,310.0,,ne,,ne,,ne,,89.0,,,,0
236.0,"U. Massachusetts, Dartmouth",503,,598,,140,,304.0,,357,,212,,53,,71.0,,,,0
236.0,U. Southern Maine,489,,413,,424,i,304.0,i,28,,0,,0,i,166.0,i,,,0
238.0,"U. North Carolina, Wilmington",520,,462,,203,,279.0,,508,,426,,183,,168.0,,,,0
239.0,U. North Florida,80,,117,,138,,266.0,,2,,16,,17,,0.0,,,,0
240.0,"California State U., Sacramento",375,,456,,731,,261.0,,358,,456,,652,,231.0,,,,0
241.0,U. Wyoming,240,,239,,278,,256.0,,240,,130,,261,,210.0,,,,0
242.0,Tennessee State U.,178,,277,,302,,255.0,,177,,266,,288,,244.0,,,,0
243.0,U. Mississippi,416,,415,,530,,248.0,,372,,367,,311,,96.0,,,,0
244.0,"CUNY, Brooklyn C.",504,,817,,513,,243.0,,446,,610,,465,,170.0,,,,0
245.0,U. Akron,168,,79,,117,,240.0,,12,,28,,81,,154.0,,,,0
246.0,"Arkansas State U., Jonesboro",276,,164,,171,,234.0,,133,,95,,95,,143.0,,,,0
247.0,"Rutgers, State U. New Jersey, Camden",205,,132,,222,,230.0,,150,,132,,221,,230.0,,,,0
247.0,"Southern U. and A&M C., Baton Rouge",400,,338,,262,,230.0,,400,,338,,261,,216.0,,,,0
249.0,U. North Dakota,21,,56,,74,,228.0,,9,,22,,42,,125.0,,,,0
249.0,"U. Washington, Bothell",23,,0,,160,,228.0,,13,,0,,160,,228.0,,,,0
251.0,"U. Minnesota, Duluth",195,,162,,197,,225.0,,139,,115,,147,,55.0,,,,0
252.0,Clark Atlanta U.,293,,403,,431,,222.0,,293,,385,,431,,189.0,,,,0
253.0,New Mexico Institute of Mining and Technology,903,,298,i,2127,,186.0,,882,,298,,802,,147.0,,,,0
254.0,Colgate U.,217,,107,,74,,176.0,,188,,81,,61,,147.0,,,,0
255.0,Appalachian State U.,141,,101,,136,,175.0,,126,,98,,123,,173.0,,,,0
255.0,Fayetteville State U.,0,,353,,316,,175.0,,0,,353,,316,,175.0,,,,0
255.0,Salisbury U.,327,,204,,100,,175.0,,35,,142,,74,,169.0,,,,0
