Rank,Institution,All R&D expenditures,Unnamed: 3,Environmental sciences,Unnamed: 5,Life sciences,Unnamed: 7,Math and computer sciences,Unnamed: 9,Physical sciences,Unnamed: 11,Psychology,Unnamed: 13,Social sciences,Unnamed: 15,"Sciences, nec",Unnamed: 17,Engineering,Unnamed: 19,All non-S&E fields,Unnamed: 21
329.0,"Southern Illinois U., Edwardsville",489,,7,,357,,0,,0,,0,,3,,0,,66,,56,
330.0,Western Michigan U. and Homer Stryker M.D. School of Medicine,463,,0,,7,,0,,0,,23,,48,,0,,178,,207,
331.0,"Rutgers, State U. New Jersey, Camden",460,,0,,0,,0,,0,,0,,240,,220,,0,,0,
332.0,"U. Washington, Tacoma",452,,102,,0,,0,,0,,0,,0,,0,,0,,350,
333.0,"Indiana U.-Purdue U., Fort Wayne",449,,0,,6,,0,,0,,0,,0,,0,,101,,342,
334.0,Nicholls State U.,445,,18,,375,,0,,13,,0,,0,,0,,0,,39,
335.0,Central Washington U.,444,,90,,152,,0,,30,,0,,0,,0,,0,,172,
335.0,Western Washington U.,444,,353,,0,,0,,2,,0,,0,,0,,89,,0,
337.0,"Pennsylvania State U., Behrend",442,,408,,4,,4,,10,,3,,3,,0,,0,,10,
338.0,Grambling State U.,431,,0,,0,,0,,133,,0,,0,,0,,0,,298,
339.0,U. Tulsa,423,,0,,46,,3,,102,,102,,0,,0,,169,,1,
