Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17
190.0,"U. Massachusetts, Boston",779,,729,,1096,,880,,609,,639,,1018,,780,
191.0,Morgan State U.,223,,714,,600,,871,,223,,714,,600,,871,
192.0,San Francisco State U.,515,,505,,606,,867,,186,,116,,267,,388,
193.0,Norfolk State U.,362,,702,,875,,866,,231,,633,,875,,855,
194.0,North Dakota State U.,505,,837,,790,,840,,330,,297,,388,,343,
195.0,Florida A&M U.,2950,,1612,,876,,834,,2893,,1612,,815,,796,
196.0,Western Kentucky U.,1898,,1315,,515,,813,,1156,,878,,294,,134,
197.0,Utah State U.,644,,1386,,1939,,777,,568,,484,,826,,493,
198.0,Wesleyan U.,255,,566,,391,,766,,137,,293,,210,,579,
199.0,Texas State U.,261,,541,,539,,758,,19,,184,,278,,270,
200.0,San Jose State U.,701,,709,,706,,754,,670,,685,,693,,721,
201.0,Dillard U.,84,,0,,0,,748,,84,,0,,0,,711,
202.0,"Southern Illinois U., Carbondale",1386,,1487,,1147,,731,,825,,780,,727,,505,
203.0,"CUNY, Queens C.",402,,445,,597,,703,,350,,348,,508,,445,
204.0,"California State U., Fullerton",702,,690,,627,,682,,611,,622,,626,,621,
205.0,Boise State U.,1088,,1003,,691,,660,,820,,853,,426,,166,
206.0,Portland State U.,4451,,1921,,1557,,659,,3787,,1699,,1259,,517,
207.0,"U. Montana, Missoula",416,,323,,593,,645,,393,,293,,456,,530,
208.0,U. New Orleans,505,,846,,1323,,630,,364,,726,,1175,,509,
209.0,Barnard C.,611,,605,,562,,603,,609,,597,,551,,593,
210.0,Oregon State U.,1187,,1088,,972,,599,,1022,,871,,661,,560,
211.0,"SUNY, Geneseo",851,,516,,349,,593,,656,,386,,294,,435,
212.0,James Madison U.,342,,322,,315,,586,,253,,301,,175,,445,
213.0,Williams C.,396,,320,,289,,563,,340,,256,,105,,454,
214.0,"U. Texas, Brownsville",0,,13,,161,,561,,0,,0,,161,,409,
215.0,"U. Puerto Rico, Mayaguez",1246,,1200,,757,,540,,875,,877,,497,,302,
