Rank,Institution,All R&D expenditures,Unnamed: 3,Source of funds,Federal government,Unnamed: 6,State and local government,Unnamed: 8,Institution funds,Unnamed: 10,Business,Unnamed: 12,Nonprofit organizations,Unnamed: 14,All other sources
183.0,"Southern Illinois U., Carbondale",57509,,14895,,4929,,29371.0,,6807.0,,1507.0,,0.0,
184.0,U. Wyoming,56996,,48970,,3362,,1803.0,,1993.0,,631.0,,237.0,
185.0,"Indiana U.-Purdue U., Indianapolis",55973,,18479,,944,,27587.0,,2743.0,,5791.0,,429.0,
186.0,"U. Texas, San Antonio",54949,,23511,,16467,,9341.0,,941.0,,1038.0,,3651.0,
187.0,Wright State U.,54289,,26931,,9376,,14343.0,,1983.0,,1628.0,,28.0,
188.0,Portland State U.,53872,,29987,,9781,,8923.0,,624.0,,4287.0,,270.0,
189.0,"CUNY, City C.",53223,,38434,,2833,,9306.0,,1683.0,,33.0,,934.0,
190.0,U. Toledo,52354,,27085,,4547,,16519.0,,3453.0,,744.0,,6.0,
191.0,"U. Maryland, Center for Environmental Science",52235,,14096,,3968,,30242.0,,1525.0,,2311.0,,93.0,
192.0,U. Southern Mississippi,51840,,25005,,11538,,9492.0,,2862.0,,2915.0,,28.0,
193.0,"Loyola U., Chicago",48664,,28200,,315,,11115.0,,2893.0,,4519.0,,1622.0,
194.0,"U. California, Office of the President",48341,,181,,14374,,28766.0,,0.0,,4856.0,,164.0,
195.0,Boston C.,47761,,23352,,1664,,12581.0,,303.0,,9861.0,,0.0,
196.0,Texas State U.,47694,,18289,,7145,,16827.0,,1843.0,,3590.0,,0.0,
197.0,Howard U.,47322,,38820,,1318,,4839.0,,1018.0,,1287.0,,40.0,
198.0,"Louisiana State U., Health Sciences Center – New Orleans",46840,,36027,,934,,4598.0,,2307.0,,2693.0,,281.0,
199.0,U. Memphis,46675,,18825,,3784,,18354.0,,2835.0,,2262.0,,615.0,
200.0,Florida A&M U.,46522,,36975,,1079,,7955.0,,474.0,,39.0,,0.0,
201.0,"U. North Texas, Health Science Center",46335,,22422,,11055,,9002.0,,2375.0,,1479.0,,2.0,
202.0,San Jose State U.,45037,,33782,,5974,,3680.0,,607.0,,674.0,,320.0,
203.0,Saint Louis U.,44457,,27580,,313,,8207.0,,3011.0,,5036.0,,310.0,
204.0,U. South Alabama,43722,,15106,,1031,,25489.0,,1711.0,,385.0,,0.0,
205.0,"U. North Texas, Denton",43628,,15470,,953,,23143.0,,2086.0,,1609.0,,367.0,
206.0,"U. Puerto Rico, Medical Sciences Campus",43316,,31889,,3119,,5925.0,,2383.0,,0.0,,0.0,
207.0,Eastern Virginia Medical School,42296,,28637,,787,,5573.0,,1796.0,,5345.0,,158.0,
208.0,"U. Nevada, Las Vegas",42000,,27493,,2930,,7662.0,,781.0,,244.0,,2890.0,
209.0,Van Andel Institute,40502,,8138,,3039,,25177.0,,4148.0,,0.0,,0.0,
210.0,Rochester Institute of Technology,40442,,20147,,5404,,11479.0,,2388.0,,1024.0,,0.0,
211.0,"Texas Tech U., Health Sciences Center",40438,,10251,,15640,,9303.0,,235.0,,2976.0,,2033.0,
212.0,"Brigham Young U., Provo",39126,,24250,,1561,,6949.0,,4468.0,,1826.0,,72.0,
213.0,U.S. Air Force Academy,38326,,30637,,39,,5898.0,,510.0,,75.0,,1167.0,
214.0,Kent State U.,38069,,11158,,1737,,22947.0,,752.0,,1217.0,,258.0,
215.0,Lehigh U.,36788,,22910,,2351,,9046.0,,1533.0,,652.0,,296.0,
