Table 1-47:  U.S.-Canadian Border Land-Passenger Gateways: Entering the United States,,,,,,,,,,,,,,,,,,,,,,,,,
All U.S.-Canadian land gateways,2002,2003,,2004,,2005,,2006,,2007,,2008,,,,,,,,,,,,,
"International Falls, MN","15,247","Point Roberts, WA","14,265","Point Roberts, WA","16,717","International Falls, MN","16,202","International Falls, MN","14,486","International Falls, MN","15,680","Calais, ME         ","12,367",,,,,,,,,,,,
Train passengers – top 5 gateways,,,,,,,,,,,,,,,,,,,,,,,,,
"Skagway, AK","64,751","Skagway, AK","71,970","Blaine, WA","75,482","Skagway, AK","74,844","Skagway, AK","81,526","Skagway, AK","81,393","Skagway, AK","84,849",,,,,,,,,,,,
"Blaine, WA","44,718","Blaine, WA","60,680","Skagway, AK","73,307","Blaine, WA","64,175","Blaine, WA","72,915","Blaine, WA","75,527","Blaine, WA","77,015",,,,,,,,,,,,
"Champlain-Rouses Point, NY","36,356","Champlain-Rouses Point, NY","41,625","Champlain-Rouses Point, NY","47,855","Champlain-Rouses Point, NY","49,498","Champlain-Rouses Point, NY","50,146","Champlain-Rouses Point, NY","49,754","Champlain-Rouses Point, NY","45,672",,,,,,,,,,,,
"Buffalo-Niagara Falls, NY","28,477","Buffalo-Niagara Falls, NY","31,432","Buffalo-Niagara Falls, NY","30,702","Buffalo-Niagara Falls, NY","27,009","Buffalo-Niagara Falls, NY","22,987","Buffalo-Niagara Falls, NY","22,441","Buffalo-Niagara Falls, NY","20,792",,,,,,,,,,,,
"International Falls, MN","6,572","Port Huron, MI","8,226","Detroit, MI","8,550","Detroit, MI","9,122","Detroit, MI","9,303","Port Huron, MI","10,001","Port Huron, MI","9,051",,,,,,,,,,,,
Buses – top 5 gateways,,,,,,,,,,,,,,,,,,,,,,,,,
"Detroit, MI","29,777","Detroit, MI","28,868","Detroit, MI","27,708","Buffalo-Niagara Falls, NY","23,959","Detroit, MI","23,295","Detroit, MI","21,247","Detroit, MI","19,877",,,,,,,,,,,,
"Buffalo-Niagara Falls, NY","28,534","Buffalo-Niagara Falls, NY","26,217","Buffalo-Niagara Falls, NY","25,731","Detroit, MI","22,865","Buffalo-Niagara Falls, NY","22,222","Buffalo-Niagara Falls, NY","20,298","Buffalo-Niagara Falls, NY","18,468",,,,,,,,,,,,
"Blaine, WA","15,159","Blaine, WA","15,768","Blaine, WA","15,502","Blaine, WA","15,988","Blaine, WA","15,078","Blaine, WA","15,284","Blaine, WA","15,215",,,,,,,,,,,,
"Skagway, AK","10,571","Skagway, AK","10,303","Skagway, AK","10,540","Skagway, AK","11,715","Skagway, AK","12,063","Skagway, AK","12,769","Skagway, AK","11,148",,,,,,,,,,,,
"Champlain-Rouses Point, NY","8,565","Champlain-Rouses Point, NY","8,980","Champlain-Rouses Point, NY","9,544","Champlain-Rouses Point, NY","9,935","Champlain-Rouses Point, NY","10,224","Champlain-Rouses Point, NY","9,838","Champlain-Rouses Point, NY","9,513",,,,,,,,,,,,
KEY: R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
a Gateway is a pedestrian/ferry combination crossing.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE,,,,,,,,,,,,,,,,,,,,,,,,,
"Data reflect all personal vehicles, buses, passengers and pedestrians entering the United States across the U.S.-Canadian border, regardless of nationality. ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, Bureau of Transportation Statistics, Border Crossing/Entry Data, available at http://www.bts.gov/programs/international/ as of July 15, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,
